epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19944.2,0.96136,1.15994,1.0284,0.72358,0.57148,0.63415,0.49794,0.88764,1.01183,0.99636,0.0091882,0.0091882,0.0091882
43,20424.1,0.95583,1.13006,1.01944,0.81294,0.55798,0.65896,0.50837,0.88398,0.95026,0.99159,0.0091684,0.0091684,0.0091684
44,20915.2,0.95303,1.12488,1.02033,0.771,0.58923,0.65842,0.51764,0.87713,0.91305,0.9941,0.0091486,0.0091486,0.0091486
45,21368.5,0.95092,1.10167,1.01593,0.76494,0.59399,0.66648,0.52374,0.877,0.90999,0.99489,0.0091288,0.0091288,0.0091288
46,21830.6,0.94549,1.07527,1.02021,0.81282,0.57617,0.66017,0.52432,0.86892,0.9048,0.98433,0.009109,0.009109,0.009109
47,22330.4,0.94874,1.06888,1.01681,0.81349,0.57481,0.66868,0.52977,0.88313,0.93848,0.99089,0.0090892,0.0090892,0.0090892
48,22810.7,0.93596,1.07624,1.01393,0.78476,0.59618,0.66829,0.52866,0.88018,0.89755,0.99093,0.0090694,0.0090694,0.0090694
49,23239.4,0.92871,1.04761,1.01274,0.7928,0.62498,0.6857,0.54002,0.87944,0.86352,0.99044,0.0090496,0.0090496,0.0090496
50,23710.7,0.93016,1.05052,1.00567,0.78133,0.61248,0.69347,0.54774,0.88451,0.88777,0.98833,0.0090298,0.0090298,0.0090298
51,24180.1,0.9232,1.02156,1.0089,0.7128,0.63497,0.69642,0.55176,0.86752,0.85974,0.98484,0.00901,0.00901,0.00901
52,24661.1,0.93795,1.02719,1.00941,0.81074,0.61659,0.71072,0.56325,0.871,0.82722,0.98415,0.0089902,0.0089902,0.0089902
53,25125.5,0.91894,1.01798,1.00298,0.85526,0.61557,0.71299,0.56604,0.86044,0.84293,0.98517,0.0089704,0.0089704,0.0089704
