epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,6332.54,0.77758,0.70045,0.87327,0.89352,0.72403,0.8052,0.65594,0.78583,0.79204,0.86602,9.6036e-05,9.6036e-05,9.6036e-05
42,6486.46,0.77739,0.70067,0.87588,0.90463,0.7189,0.81452,0.65762,0.78815,0.79553,0.86676,9.44619e-05,9.44619e-05,9.44619e-05
43,6639.97,0.77389,0.675,0.87226,0.90074,0.72902,0.81356,0.66457,0.77713,0.77951,0.86422,9.28878e-05,9.28878e-05,9.28878e-05
44,6793.66,0.77469,0.68805,0.87443,0.82847,0.76417,0.82362,0.67499,0.78924,0.84251,0.86594,9.13137e-05,9.13137e-05,9.13137e-05
45,6947.69,0.78303,0.67693,0.87547,0.82314,0.77755,0.81871,0.66639,0.77835,0.77623,0.86629,8.97396e-05,8.97396e-05,8.97396e-05
46,7102.14,0.77488,0.66289,0.87605,0.88139,0.72654,0.81426,0.66396,0.77446,0.77162,0.86544,8.81655e-05,8.81655e-05,8.81655e-05
47,7257.04,0.77394,0.65853,0.87257,0.88628,0.72963,0.82459,0.67316,0.78046,0.77224,0.86566,8.65914e-05,8.65914e-05,8.65914e-05
48,7410.74,0.7698,0.65375,0.87248,0.85448,0.77258,0.81998,0.66867,0.78433,0.77839,0.86517,8.50173e-05,8.50173e-05,8.50173e-05
49,7565.18,0.76086,0.6445,0.87158,0.88887,0.74416,0.82483,0.67261,0.77404,0.79761,0.86407,8.34432e-05,8.34432e-05,8.34432e-05
50,7719.93,0.7662,0.63925,0.86862,0.89539,0.74123,0.81759,0.66162,0.78529,0.81136,0.86723,8.18691e-05,8.18691e-05,8.18691e-05
51,7874.26,0.75303,0.6252,0.86671,0.90627,0.73989,0.82176,0.66998,0.77489,0.76089,0.86208,8.0295e-05,8.0295e-05,8.0295e-05
52,8028.6,0.763,0.6332,0.87257,0.85784,0.75126,0.82745,0.66987,0.77452,0.76272,0.86385,7.87209e-05,7.87209e-05,7.87209e-05
53,8182.25,0.7571,0.62106,0.86992,0.85745,0.76548,0.83081,0.67032,0.77489,0.77316,0.86354,7.71468e-05,7.71468e-05,7.71468e-05
54,8337.46,0.75411,0.61512,0.86711,0.88223,0.73911,0.83582,0.67985,0.77886,0.79761,0.86472,7.55727e-05,7.55727e-05,7.55727e-05
55,8491.06,0.74831,0.59973,0.86825,0.845,0.77921,0.83461,0.67838,0.77715,0.73992,0.86307,7.39986e-05,7.39986e-05,7.39986e-05
56,8644.99,0.74891,0.6016,0.86573,0.83521,0.77934,0.81458,0.66736,0.77243,0.77358,0.86308,7.24245e-05,7.24245e-05,7.24245e-05
57,8798.61,0.7507,0.60311,0.86708,0.88354,0.74139,0.82887,0.67125,0.77221,0.76901,0.86283,7.08504e-05,7.08504e-05,7.08504e-05
58,8953.58,0.74502,0.59856,0.86759,0.89314,0.73205,0.82717,0.67767,0.76743,0.71931,0.86257,6.92763e-05,6.92763e-05,6.92763e-05
59,9108.26,0.74482,0.60044,0.86914,0.82873,0.79227,0.8372,0.68107,0.76944,0.73281,0.86293,6.77022e-05,6.77022e-05,6.77022e-05
60,9262.45,0.74765,0.58783,0.8645,0.88079,0.76306,0.8232,0.67007,0.7743,0.74152,0.8639,6.61281e-05,6.61281e-05,6.61281e-05
61,9417.16,0.73403,0.57693,0.86621,0.87189,0.78576,0.83138,0.67435,0.775,0.75294,0.86472,6.4554e-05,6.4554e-05,6.4554e-05
62,9571.02,0.74585,0.57855,0.8658,0.8289,0.80367,0.83426,0.67867,0.76696,0.72675,0.86224,6.29799e-05,6.29799e-05,6.29799e-05
63,9724.97,0.73304,0.5689,0.86219,0.88574,0.74433,0.84098,0.68784,0.76613,0.74598,0.86247,6.14058e-05,6.14058e-05,6.14058e-05
64,9877.88,0.74543,0.56577,0.8663,0.88497,0.75038,0.84614,0.68935,0.76775,0.71771,0.86457,5.98317e-05,5.98317e-05,5.98317e-05
