epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8289.09,0.99807,0.9187,1.14828,0.8136,0.79771,0.83316,0.59961,1.08381,0.77937,1.19198,0.000900844,0.000900844,0.000900844
43,8483.82,0.98768,0.88883,1.14044,0.85091,0.77573,0.84977,0.63044,1.06065,0.75587,1.18248,0.000896127,0.000896127,0.000896127
44,8678.84,0.997,0.88577,1.15043,0.83733,0.77673,0.85241,0.63812,1.00832,0.76013,1.14374,0.000891313,0.000891313,0.000891313
45,8874.16,0.98786,0.88445,1.14058,0.85338,0.81074,0.84881,0.63412,1.04263,0.76958,1.16864,0.000886404,0.000886404,0.000886404
46,9068.82,0.97458,0.86476,1.1367,0.85458,0.76364,0.83391,0.61209,1.06591,0.78849,1.18248,0.000881401,0.000881401,0.000881401
47,9264.27,0.97539,0.87912,1.1343,0.84348,0.76507,0.84014,0.61905,1.04031,0.7553,1.17049,0.000876305,0.000876305,0.000876305
48,9459.06,0.97824,0.86442,1.14206,0.85599,0.79274,0.85992,0.63782,1.03387,0.73567,1.16106,0.000871117,0.000871117,0.000871117
49,9654.12,0.97175,0.84894,1.13268,0.90775,0.79116,0.86561,0.64068,1.04364,0.73494,1.17639,0.000865839,0.000865839,0.000865839
50,9849.93,0.96348,0.84015,1.12763,0.88038,0.76873,0.85655,0.64304,1.04124,0.74364,1.17169,0.000860473,0.000860473,0.000860473
51,10045,0.96261,0.83354,1.12604,0.85196,0.81671,0.8609,0.64688,1.03993,0.74127,1.17193,0.000855018,0.000855018,0.000855018
52,10241.5,0.96076,0.80874,1.12899,0.90964,0.75828,0.84915,0.62596,1.04661,0.73342,1.17602,0.000849477,0.000849477,0.000849477
53,10436.4,0.95419,0.82105,1.12597,0.88797,0.78017,0.84823,0.62617,1.06107,0.74047,1.17376,0.000843851,0.000843851,0.000843851
54,10631.5,0.95924,0.81084,1.12818,0.85961,0.79093,0.84871,0.6419,1.00854,0.75031,1.14733,0.000838141,0.000838141,0.000838141
55,10826.5,0.94635,0.79476,1.11923,0.87405,0.8209,0.85233,0.6367,1.01194,0.71605,1.15582,0.000832349,0.000832349,0.000832349
56,11021.6,0.94233,0.80143,1.11694,0.88827,0.80585,0.86324,0.65253,0.99507,0.71219,1.14211,0.000826477,0.000826477,0.000826477
57,11216.8,0.95188,0.79807,1.12346,0.89256,0.8106,0.86504,0.6477,0.99669,0.72148,1.14677,0.000820525,0.000820525,0.000820525
58,11412,0.94473,0.78126,1.11803,0.88599,0.81068,0.86789,0.65544,1.01029,0.68984,1.15313,0.000814495,0.000814495,0.000814495
59,11607.3,0.93614,0.76696,1.11081,0.89798,0.82949,0.8782,0.66048,1.00955,0.69097,1.14809,0.000808389,0.000808389,0.000808389
60,11802.6,0.93727,0.75977,1.118,0.91635,0.82424,0.88768,0.67175,1.01923,0.7128,1.15057,0.000802208,0.000802208,0.000802208
61,11998.6,0.93639,0.76359,1.11188,0.89554,0.82524,0.87814,0.67424,0.98031,0.6946,1.13244,0.000795954,0.000795954,0.000795954
62,12193.9,0.92777,0.75733,1.10438,0.92081,0.81374,0.88569,0.66692,1.00832,0.6984,1.14769,0.000789628,0.000789628,0.000789628
63,12388.9,0.92632,0.75008,1.10361,0.88334,0.81649,0.86866,0.6511,1.02455,0.68809,1.15716,0.000783231,0.000783231,0.000783231
64,12583.8,0.92146,0.74276,1.10549,0.90261,0.80704,0.86086,0.65256,1.00881,0.70934,1.14561,0.000776766,0.000776766,0.000776766
65,12778.9,0.92003,0.73404,1.09753,0.88566,0.83951,0.8844,0.6679,1.02001,0.70319,1.15276,0.000770234,0.000770234,0.000770234
66,12974.2,0.90789,0.7246,1.09485,0.88153,0.8406,0.87886,0.66616,0.99187,0.69003,1.14246,0.000763637,0.000763637,0.000763637
67,13169.3,0.9099,0.72808,1.09841,0.90888,0.84342,0.88809,0.67067,0.99499,0.68574,1.14312,0.000756976,0.000756976,0.000756976
68,13364.5,0.91075,0.72763,1.09352,0.90272,0.82099,0.87218,0.66739,0.97607,0.66163,1.12394,0.000750252,0.000750252,0.000750252
69,13559.5,0.90775,0.71753,1.08824,0.93481,0.80811,0.87737,0.67003,0.97597,0.66551,1.12705,0.000743468,0.000743468,0.000743468
70,13754.4,0.90241,0.713,1.09776,0.90077,0.83453,0.87686,0.67442,0.95746,0.67448,1.11674,0.000736625,0.000736625,0.000736625
71,13949.7,0.90816,0.70622,1.09693,0.89202,0.81684,0.86543,0.66584,0.96213,0.66198,1.12091,0.000729725,0.000729725,0.000729725
72,14145.1,0.90284,0.71124,1.09445,0.91924,0.82337,0.88515,0.67317,0.9644,0.66194,1.12325,0.00072277,0.00072277,0.00072277
73,14340.3,0.889,0.70123,1.08344,0.87704,0.86355,0.88383,0.67942,0.93947,0.67073,1.10787,0.000715761,0.000715761,0.000715761
74,14536,0.90027,0.70788,1.09104,0.90406,0.82402,0.88023,0.67751,0.92674,0.66208,1.10092,0.0007087,0.0007087,0.0007087
75,14731,0.88833,0.69043,1.08571,0.90736,0.84334,0.87818,0.66839,0.93842,0.66465,1.10429,0.000701588,0.000701588,0.000701588
76,14926.3,0.89271,0.70318,1.08364,0.90406,0.83618,0.87606,0.66625,0.95483,0.66408,1.11915,0.000694428,0.000694428,0.000694428
77,15122.2,0.87547,0.66621,1.0752,0.89461,0.83347,0.87268,0.67862,0.91778,0.66111,1.09731,0.000687222,0.000687222,0.000687222
78,15317.4,0.88107,0.6734,1.07763,0.90834,0.81789,0.86681,0.66761,0.94494,0.66207,1.11083,0.00067997,0.00067997,0.00067997
79,15512.6,0.87118,0.67133,1.07528,0.90032,0.82551,0.86261,0.66715,0.91648,0.64539,1.09503,0.000672675,0.000672675,0.000672675
80,15708.3,0.8739,0.66477,1.07721,0.9248,0.82574,0.87214,0.68283,0.90262,0.65265,1.08652,0.000665339,0.000665339,0.000665339
81,15904.3,0.8744,0.67096,1.07825,0.90061,0.83632,0.87498,0.69033,0.88606,0.65034,1.07965,0.000657963,0.000657963,0.000657963
82,16100.3,0.87505,0.66476,1.07835,0.92814,0.81502,0.87137,0.67857,0.90246,0.65757,1.08776,0.00065055,0.00065055,0.00065055
83,16296,0.86897,0.65394,1.07543,0.93489,0.82615,0.87052,0.6816,0.90947,0.65037,1.09173,0.000643101,0.000643101,0.000643101
84,16491.7,0.8627,0.65545,1.0681,0.9247,0.82052,0.87584,0.68381,0.90002,0.63666,1.08811,0.000635617,0.000635617,0.000635617
85,16687.5,0.85908,0.65709,1.06914,0.89694,0.84194,0.87512,0.68632,0.88496,0.65058,1.08135,0.000628101,0.000628101,0.000628101
86,16883.1,0.85486,0.64477,1.06148,0.9025,0.83545,0.87183,0.68119,0.8862,0.65343,1.0819,0.000620555,0.000620555,0.000620555
87,17079,0.84852,0.64063,1.06722,0.94057,0.80034,0.8733,0.68457,0.89781,0.64941,1.0871,0.000612981,0.000612981,0.000612981
88,17274.8,0.85479,0.64025,1.06548,0.94112,0.81609,0.88025,0.69091,0.8939,0.64814,1.08146,0.00060538,0.00060538,0.00060538
89,17470.9,0.84522,0.62284,1.05846,0.93796,0.82465,0.87804,0.68592,0.88983,0.63477,1.079,0.000597754,0.000597754,0.000597754
90,17666.8,0.84814,0.63052,1.06471,0.93132,0.81537,0.87703,0.68493,0.88249,0.64227,1.07406,0.000590105,0.000590105,0.000590105
91,17862.5,0.84578,0.63575,1.05668,0.9398,0.81345,0.87963,0.69477,0.87559,0.63414,1.0705,0.000582435,0.000582435,0.000582435
92,18058.6,0.83694,0.62345,1.05771,0.92556,0.83288,0.8835,0.69607,0.87708,0.62798,1.07252,0.000574746,0.000574746,0.000574746
93,18255,0.8345,0.61857,1.05646,0.9423,0.82337,0.88376,0.69667,0.871,0.62086,1.07298,0.00056704,0.00056704,0.00056704
94,18451.5,0.83882,0.60831,1.05591,0.93214,0.83149,0.88499,0.6994,0.87565,0.62013,1.0718,0.000559318,0.000559318,0.000559318
95,18647.7,0.83549,0.59932,1.0523,0.93356,0.82947,0.88112,0.69691,0.86892,0.62679,1.06576,0.000551584,0.000551584,0.000551584
96,18843.7,0.83232,0.60619,1.05361,0.94094,0.82988,0.881,0.6981,0.86826,0.62526,1.06774,0.000543837,0.000543837,0.000543837
97,19039.8,0.83098,0.60748,1.05592,0.93464,0.82927,0.88105,0.70358,0.85407,0.62295,1.05942,0.000536081,0.000536081,0.000536081
98,19235.7,0.82965,0.60327,1.05109,0.92439,0.8377,0.88227,0.70098,0.85969,0.62812,1.06162,0.000528318,0.000528318,0.000528318
99,19431.3,0.82015,0.60354,1.04791,0.91617,0.84429,0.88138,0.70321,0.85226,0.61855,1.0589,0.000520548,0.000520548,0.000520548
100,19627.2,0.82053,0.60368,1.04672,0.92524,0.82488,0.87779,0.7003,0.8538,0.61115,1.059,0.000512775,0.000512775,0.000512775
101,19823.2,0.81557,0.58737,1.04295,0.92574,0.83596,0.88506,0.70626,0.85182,0.60383,1.05868,0.000505,0.000505,0.000505
102,20020.7,0.80877,0.58108,1.03851,0.93218,0.83285,0.88705,0.70745,0.84812,0.60442,1.05705,0.000497225,0.000497225,0.000497225
103,20217,0.80926,0.59057,1.03639,0.94198,0.81854,0.88325,0.70786,0.84424,0.59997,1.05567,0.000489452,0.000489452,0.000489452
104,20413.1,0.81038,0.58388,1.04116,0.90813,0.84264,0.88315,0.70532,0.84435,0.59749,1.05446,0.000481682,0.000481682,0.000481682
105,20608.9,0.8026,0.57992,1.03555,0.93172,0.82171,0.88175,0.70377,0.8474,0.60364,1.05587,0.000473919,0.000473919,0.000473919
106,20804.6,0.80505,0.58685,1.04346,0.93636,0.82292,0.88147,0.70254,0.85005,0.60135,1.05777,0.000466163,0.000466163,0.000466163
107,21000.3,0.80673,0.57837,1.04039,0.93157,0.82941,0.8834,0.70383,0.85046,0.59774,1.05679,0.000458416,0.000458416,0.000458416
108,21196.4,0.79937,0.57676,1.03778,0.92698,0.83572,0.88107,0.7034,0.85441,0.59217,1.06003,0.000450682,0.000450682,0.000450682
109,21392.2,0.78667,0.57251,1.03431,0.91876,0.8487,0.88564,0.7041,0.85551,0.58613,1.05966,0.00044296,0.00044296,0.00044296
110,21588.1,0.78803,0.55836,1.02937,0.94339,0.83051,0.88763,0.70735,0.8537,0.57731,1.05781,0.000435254,0.000435254,0.000435254
111,21784.6,0.7946,0.57348,1.03888,0.90024,0.8586,0.8873,0.70737,0.85538,0.582,1.05998,0.000427565,0.000427565,0.000427565
112,21980.2,0.79211,0.5654,1.02775,0.90688,0.85366,0.88562,0.7033,0.85119,0.58014,1.05796,0.000419895,0.000419895,0.000419895
113,22176.2,0.79329,0.56581,1.03032,0.94299,0.82952,0.88779,0.70971,0.8499,0.58106,1.05705,0.000412246,0.000412246,0.000412246
114,22372.6,0.78372,0.55761,1.02851,0.90646,0.84427,0.88226,0.70233,0.85021,0.57966,1.05757,0.00040462,0.00040462,0.00040462
115,22568.5,0.78076,0.5509,1.02513,0.92494,0.82876,0.88658,0.70505,0.84847,0.57738,1.05679,0.000397019,0.000397019,0.000397019
116,22764.4,0.78524,0.56072,1.02732,0.91928,0.84554,0.88172,0.70201,0.84637,0.579,1.0562,0.000389445,0.000389445,0.000389445
117,22960.2,0.77397,0.54199,1.02629,0.919,0.84513,0.87916,0.69844,0.84945,0.58114,1.05788,0.000381899,0.000381899,0.000381899
